sample_name,fastq1,fastq2,tech
demo_SARSCoV2_001,Demo_Sample_001_R1_001,Demo_Sample_001_R2_001,illumina
demo_SARSCoV2_002,Demo_Sample_002_R1_001,Demo_Sample_002_R2_001,illumina
demo_SARSCoV2_003,Demo_Sample_003_R1_001,Demo_Sample_003_R2_001,illumina
demo_SARSCoV2_004,Demo_Sample_004_R1_001,Demo_Sample_004_R2_001,illumina
demo_SARSCoV2_005,Demo_Sample_005_R1_001,Demo_Sample_005_R2_001,illumina
demo_SARSCoV2_012,Demo_Sample_012_R1_001,Demo_Sample_012_R2_001,illumina
demo_SARSCoV2_013,Demo_Sample_013_R1_001,Demo_Sample_013_R2_001,illumina
demo_SARSCoV2_014,Demo_Sample_014_R1_001,Demo_Sample_014_R2_001,illumina
demo_SARSCoV2_016,Demo_Sample_016_R1_001,Demo_Sample_016_R2_001,illumina
demo_SARSCoV2_017,Demo_Sample_017_R1_001,Demo_Sample_017_R2_001,illumina
demo_SARSCoV2_018,Demo_Sample_018_R1_001,Demo_Sample_018_R2_001,illumina
demo_SARSCoV2_019,Demo_Sample_019_R1_001,Demo_Sample_019_R2_001,illumina
demo_SARSCoV2_020,Demo_Sample_020_R1_001,Demo_Sample_020_R2_001,illumina
demo_SARSCoV2_025,Demo_Sample_025_R1_001,Demo_Sample_025_R2_001,illumina
demo_SARSCoV2_026,Demo_Sample_026_R1_001,Demo_Sample_026_R2_001,illumina
demo_SARSCoV2_027,Demo_Sample_027_R1_001,Demo_Sample_027_R2_001,illumina
demo_SARSCoV2_028,Demo_Sample_028_R1_001,Demo_Sample_028_R2_001,illumina
demo_SARSCoV2_029,Demo_Sample_029_R1_001,Demo_Sample_029_R2_001,illumina
demo_SARSCoV2_030,Demo_Sample_030_R1_001,Demo_Sample_030_R2_001,illumina
demo_SARSCoV2_035,Demo_Sample_035_R1_001,Demo_Sample_035_R2_001,illumina
demo_SARSCoV2_036,Demo_Sample_036_R1_001,Demo_Sample_036_R2_001,illumina
demo_SARSCoV2_037,Demo_Sample_037_R1_001,Demo_Sample_037_R2_001,illumina
demo_SARSCoV2_038,Demo_Sample_038_R1_001,Demo_Sample_038_R2_001,illumina
demo_SARSCoV2_039,Demo_Sample_039_R1_001,Demo_Sample_039_R2_001,illumina
demo_SARSCoV2_040,Demo_Sample_040_R1_001,Demo_Sample_040_R2_001,illumina
demo_SARSCoV2_041,Demo_Sample_041_R1_001,Demo_Sample_041_R2_001,illumina
demo_SARSCoV2_048,Demo_Sample_048_R1_001,Demo_Sample_048_R2_001,illumina
demo_SARSCoV2_049,Demo_Sample_049_R1_001,Demo_Sample_049_R2_001,illumina
demo_SARSCoV2_050,Demo_Sample_050_R1_001,Demo_Sample_050_R2_001,illumina
demo_SARSCoV2_051,Demo_Sample_051_R1_001,Demo_Sample_051_R2_001,illumina
demo_SARSCoV2_052,Demo_Sample_052_R1_001,Demo_Sample_052_R2_001,illumina
demo_SARSCoV2_053,Demo_Sample_053_R1_001,Demo_Sample_053_R2_001,illumina
demo_SARSCoV2_054,Demo_Sample_054_R1_001,Demo_Sample_054_R2_001,illumina
demo_SARSCoV2_055,Demo_Sample_055_R1_001,Demo_Sample_055_R2_001,illumina
demo_SARSCoV2_060,Demo_Sample_060_R1_001,Demo_Sample_060_R2_001,illumina
demo_SARSCoV2_061,Demo_Sample_061_R1_001,Demo_Sample_061_R2_001,illumina
demo_SARSCoV2_062,Demo_Sample_062_R1_001,Demo_Sample_062_R2_001,illumina
demo_SARSCoV2_063,Demo_Sample_063_R1_001,Demo_Sample_063_R2_001,illumina
