sample_name,fastq1,fastq2,tech
demo_SARSCoV2_025,demo_SARSCoV2_025_1P,demo_SARSCoV2_025_2P,illumina
demo_SARSCoV2_020,demo_SARSCoV2_020_1P,demo_SARSCoV2_020_2P,illumina
demo_SARSCoV2_066,demo_SARSCoV2_066_1P,demo_SARSCoV2_066_2P,illumina
demo_SARSCoV2_049,demo_SARSCoV2_049_1P,demo_SARSCoV2_049_2P,illumina
demo_SARSCoV2_014,demo_SARSCoV2_014_1P,demo_SARSCoV2_014_2P,illumina
demo_SARSCoV2_016,demo_SARSCoV2_016_1P,demo_SARSCoV2_016_2P,illumina
demo_SARSCoV2_051,demo_SARSCoV2_051_1P,demo_SARSCoV2_051_2P,illumina
demo_SARSCoV2_036,demo_SARSCoV2_036_1P,demo_SARSCoV2_036_2P,illumina
demo_SARSCoV2_040,demo_SARSCoV2_040_1P,demo_SARSCoV2_040_2P,illumina
demo_SARSCoV2_005,demo_SARSCoV2_005_1P,demo_SARSCoV2_005_2P,illumina
demo_SARSCoV2_060,demo_SARSCoV2_060_1P,demo_SARSCoV2_060_2P,illumina
demo_SARSCoV2_004,demo_SARSCoV2_004_1P,demo_SARSCoV2_004_2P,illumina
demo_SARSCoV2_028,demo_SARSCoV2_028_1P,demo_SARSCoV2_028_2P,illumina
demo_SARSCoV2_035,demo_SARSCoV2_035_1P,demo_SARSCoV2_035_2P,illumina
demo_SARSCoV2_065,demo_SARSCoV2_065_1P,demo_SARSCoV2_065_2P,illumina
demo_SARSCoV2_004,demo_SARSCoV2_004_1P,demo_SARSCoV2_004_2P,illumina
demo_SARSCoV2_025,demo_SARSCoV2_025_1P,demo_SARSCoV2_025_2P,illumina
demo_SARSCoV2_003,demo_SARSCoV2_003_1P,demo_SARSCoV2_003_2P,illumina
demo_SARSCoV2_064,demo_SARSCoV2_064_1P,demo_SARSCoV2_064_2P,illumina
demo_SARSCoV2_012,demo_SARSCoV2_012_1P,demo_SARSCoV2_012_2P,illumina
demo_SARSCoV2_017,demo_SARSCoV2_017_1P,demo_SARSCoV2_017_2P,illumina
demo_SARSCoV2_027,demo_SARSCoV2_027_1P,demo_SARSCoV2_027_2P,illumina
demo_SARSCoV2_016,demo_SARSCoV2_016_1P,demo_SARSCoV2_016_2P,illumina
demo_SARSCoV2_049,demo_SARSCoV2_049_1P,demo_SARSCoV2_049_2P,illumina
demo_SARSCoV2_063,demo_SARSCoV2_063_1P,demo_SARSCoV2_063_2P,illumina
demo_SARSCoV2_012,demo_SARSCoV2_012_1P,demo_SARSCoV2_012_2P,illumina
demo_SARSCoV2_029,demo_SARSCoV2_029_1P,demo_SARSCoV2_029_2P,illumina
demo_SARSCoV2_030,demo_SARSCoV2_030_1P,demo_SARSCoV2_030_2P,illumina
demo_SARSCoV2_048,demo_SARSCoV2_048_1P,demo_SARSCoV2_048_2P,illumina
demo_SARSCoV2_061,demo_SARSCoV2_061_1P,demo_SARSCoV2_061_2P,illumina
demo_SARSCoV2_002,demo_SARSCoV2_002_1P,demo_SARSCoV2_002_2P,illumina
demo_SARSCoV2_037,demo_SARSCoV2_037_1P,demo_SARSCoV2_037_2P,illumina
demo_SARSCoV2_018,demo_SARSCoV2_018_1P,demo_SARSCoV2_018_2P,illumina
demo_SARSCoV2_061,demo_SARSCoV2_061_1P,demo_SARSCoV2_061_2P,illumina
demo_SARSCoV2_063,demo_SARSCoV2_063_1P,demo_SARSCoV2_063_2P,illumina
demo_SARSCoV2_035,demo_SARSCoV2_035_1P,demo_SARSCoV2_035_2P,illumina
demo_SARSCoV2_013,demo_SARSCoV2_013_1P,demo_SARSCoV2_013_2P,illumina
