sample_name,fastq1,fastq2,tech
demo_MPXV_008,demo_MPXV_008_1P,demo_MPXV_008_2P,illumina
SRR22321682,SRR22321682_1P,,illumina
Monkeypox_PT0191_2022,Monkeypox_PT0191_2022_1P,Monkeypox_PT0191_2022_2P,illumina
SRR22321683,SRR22321683_1P,,illumina
demo_MPXV_007,demo_MPXV_007_1P,demo_MPXV_007_2P,illumina
Monkeypox_PT0186_2022,Monkeypox_PT0186_2022_1P,Monkeypox_PT0186_2022_2P,illumina
demo_MPXV_008,demo_MPXV_008_1P,demo_MPXV_008_2P,illumina
Monkeypox_PT0182_2022,Monkeypox_PT0182_2022_1P,Monkeypox_PT0182_2022_2P,illumina
Monkeypox_PT0347_2022,Monkeypox_PT0347_2022_1P,Monkeypox_PT0347_2022_2P,illumina
demo_MPXV_004,demo_MPXV_004_1P,demo_MPXV_004_2P,illumina
Monkeypox_PT0164_2022,Monkeypox_PT0164_2022_1P,Monkeypox_PT0164_2022_2P,illumina
Monkeypox_PT0290_2022,Monkeypox_PT0290_2022_1P,Monkeypox_PT0290_2022_2P,illumina
Monkeypox_PT0183_2022,Monkeypox_PT0183_2022_1P,Monkeypox_PT0183_2022_2P,illumina
demo_MPXV_007,demo_MPXV_007_1P,demo_MPXV_007_2P,illumina
demo_MPXV_005,demo_MPXV_005_1P,demo_MPXV_005_2P,illumina
Monkeypox_PT0183_2022,Monkeypox_PT0183_2022_1P,Monkeypox_PT0183_2022_2P,illumina
Monkeypox_PT0164_2022,Monkeypox_PT0164_2022_1P,Monkeypox_PT0164_2022_2P,illumina
Monkeypox_PT0198_2022,Monkeypox_PT0198_2022_1P,Monkeypox_PT0198_2022_2P,illumina
Monkeypox_PT0186_2022,Monkeypox_PT0186_2022_1P,Monkeypox_PT0186_2022_2P,illumina
demo_MPXV_004,demo_MPXV_004_1P,demo_MPXV_004_2P,illumina
Monkeypox_PT0290_2022,Monkeypox_PT0290_2022_1P,Monkeypox_PT0290_2022_2P,illumina
Monkeypox_PT0198_2022,Monkeypox_PT0198_2022_1P,Monkeypox_PT0198_2022_2P,illumina
Monkeypox_PT0347_2022,Monkeypox_PT0347_2022_1P,Monkeypox_PT0347_2022_2P,illumina
SRR22321685,SRR22321685_1P,,illumina
demo_MPXV_005,demo_MPXV_005_1P,demo_MPXV_005_2P,illumina
SRR22321720,SRR22321720_1P,,illumina
demo_MPXV_006,demo_MPXV_006_1P,demo_MPXV_006_2P,illumina
Monkeypox_PT0191_2022,Monkeypox_PT0191_2022_1P,Monkeypox_PT0191_2022_2P,illumina
Monkeypox_PT0182_2022,Monkeypox_PT0182_2022_1P,Monkeypox_PT0182_2022_2P,illumina
demo_MPXV_006,demo_MPXV_006_1P,demo_MPXV_006_2P,illumina
demo_MPXV_003,demo_MPXV_003,,ont
demo_MPXV_002,demo_MPXV_002,,ont
demo_MPXV_001,demo_MPXV_001,,ont
