sample_name,gaps,Ns,diff match nucleotides
PT43123,0,0,0
PT43260,0,0,0
PT43261,0,0,0
PT43262,0,0,0
PT43263,0,0,0
PT43264,0,0,0
PT43265,0,0,0
PT43266,0,0,0
PT43267,0,0,0
PT43268,0,0,0
PT43269,0,0,0
PT43270,0,0,0
PT43271,0,0,0
PT43272,0,0,0
PT43273,0,0,0
PT43274,0,0,0
PT43275,0,0,0
PT43276,0,0,0
PT43277,0,0,0
PT43278,0,0,0
PT43279,0,0,0
PT43280,0,0,0
PT43281,0,0,0
PT43282,0,0,0
PT43283,0,0,0
PT43284,0,0,0
PT43285,0,0,0
PT43286,0,0,0
PT43287,0,0,0
